[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1652344573.390000 5/12/2022, 5:36:13 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: PtFe_MH20211209.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1652356070.578,,2.600000e+004,9.995892e+000,2.834326e-001,4.452815e-005,3,9.924966e-001,1.571031e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.025105e-002,0.000000e+000,0,0,0,
1652356203.390,,2.800000e+004,9.996317e+000,3.029616e-001,6.545406e-005,3,9.924643e-001,2.160473e-002,,,,,,,,,,,,,,32,2,4.000000e+000,5.804062e-003,0.000000e+000,0,0,0,
1652356338.906,,3.000000e+004,9.996229e+000,3.222132e-001,6.459005e-005,3,9.924601e-001,2.004575e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.733231e-003,0.000000e+000,0,0,0,
1652356478.328,,3.200000e+004,9.998285e+000,3.411909e-001,6.918405e-005,3,9.925258e-001,2.027722e-002,,,,,,,,,,,,,,32,2,4.000000e+000,8.900642e-003,0.000000e+000,0,1,0,
1652356613.718,,3.400000e+004,9.996405e+000,3.599488e-001,5.481198e-005,3,9.924309e-001,1.522772e-002,,,,,,,,,,,,,,32,2,4.000000e+000,8.203506e-003,0.000000e+000,0,1,0,
1652356748.718,,3.600000e+004,9.995719e+000,3.784627e-001,6.395784e-005,3,9.925003e-001,1.689938e-002,,,,,,,,,,,,,,32,2,4.000000e+000,6.828308e-003,0.000000e+000,0,1,0,
1652356881.265,,3.800000e+004,9.997343e+000,3.967823e-001,6.846756e-005,3,9.924959e-001,1.725570e-002,,,,,,,,,,,,,,32,2,4.000000e+000,7.180214e-003,0.000000e+000,0,1,0,
1652357016.921,,4.000000e+004,9.997172e+000,4.148883e-001,6.511688e-005,3,9.924843e-001,1.569504e-002,,,,,,,,,,,,,,32,2,4.000000e+000,8.886337e-003,0.000000e+000,0,1,0,
1652357155.781,,4.200000e+004,9.997175e+000,4.328519e-001,7.009021e-005,3,9.924245e-001,1.619265e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.094723e-002,0.000000e+000,0,0,0,
1652357371.703,,4.400000e+004,1.000145e+001,4.508758e-001,1.960039e-004,3,9.919121e-001,4.347182e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.070427e-003,0.000000e+000,0,1,0,
1652357568.234,,4.600000e+004,9.999906e+000,4.684947e-001,1.545736e-004,3,9.920266e-001,3.299367e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.032829e-003,0.000000e+000,0,1,0,
